feature_id_original	feature_id_standardized	ortholog_reference	mapping_confidence	mapping_release	mapping_evidence
NCBI:GeneID:117687150	NCBI:GeneID:117687150		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105327027	NCBI:GeneID:105327027		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105339946	NCBI:GeneID:105339946		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136273691	NCBI:GeneID:136273691		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105348808	NCBI:GeneID:105348808		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136273824	NCBI:GeneID:136273824		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105317552	NCBI:GeneID:105317552		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105341499	NCBI:GeneID:105341499		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105343805	NCBI:GeneID:105343805		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136276032	NCBI:GeneID:136276032		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105347939	NCBI:GeneID:105347939		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105347149	NCBI:GeneID:105347149		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105347968	NCBI:GeneID:105347968		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105328656	NCBI:GeneID:105328656		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105345420	NCBI:GeneID:105345420		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105335677	NCBI:GeneID:105335677		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136269516	NCBI:GeneID:136269516		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105344069	NCBI:GeneID:105344069		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105347364	NCBI:GeneID:105347364		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105333868	NCBI:GeneID:105333868		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105343686	NCBI:GeneID:105343686		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105344203	NCBI:GeneID:105344203		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136276109	NCBI:GeneID:136276109		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105337198	NCBI:GeneID:105337198		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105325327	NCBI:GeneID:105325327		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105339404	NCBI:GeneID:105339404		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136271677	NCBI:GeneID:136271677		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105318744	NCBI:GeneID:105318744		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105337016	NCBI:GeneID:105337016		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105321902	NCBI:GeneID:105321902		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105337015	NCBI:GeneID:105337015		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105334483	NCBI:GeneID:105334483		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105321588	NCBI:GeneID:105321588		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105347650	NCBI:GeneID:105347650		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105335044	NCBI:GeneID:105335044		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105328482	NCBI:GeneID:105328482		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105339777	NCBI:GeneID:105339777		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105326453	NCBI:GeneID:105326453		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105344814	NCBI:GeneID:105344814		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105338364	NCBI:GeneID:105338364		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105340829	NCBI:GeneID:105340829		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:117687479	NCBI:GeneID:117687479		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105344828	NCBI:GeneID:105344828		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105335342	NCBI:GeneID:105335342		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105318136	NCBI:GeneID:105318136		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105322800	NCBI:GeneID:105322800		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136270562	NCBI:GeneID:136270562		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105325920	NCBI:GeneID:105325920		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136275171	NCBI:GeneID:136275171		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105318131	NCBI:GeneID:105318131		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105336863	NCBI:GeneID:105336863		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105334107	NCBI:GeneID:105334107		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105322773	NCBI:GeneID:105322773		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105330590	NCBI:GeneID:105330590		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105338896	NCBI:GeneID:105338896		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136272225	NCBI:GeneID:136272225		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105330305	NCBI:GeneID:105330305		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:117681481	NCBI:GeneID:117681481		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:109617071	NCBI:GeneID:109617071		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:117690870	NCBI:GeneID:117690870		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:117682758	NCBI:GeneID:117682758		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105331115	NCBI:GeneID:105331115		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105343196	NCBI:GeneID:105343196		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105336945	NCBI:GeneID:105336945		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105322449	NCBI:GeneID:105322449		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105337005	NCBI:GeneID:105337005		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105317562	NCBI:GeneID:105317562		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105344978	NCBI:GeneID:105344978		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105338307	NCBI:GeneID:105338307		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136271474	NCBI:GeneID:136271474		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105348927	NCBI:GeneID:105348927		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105326829	NCBI:GeneID:105326829		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:117681590	NCBI:GeneID:117681590		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105336754	NCBI:GeneID:105336754		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105329916	NCBI:GeneID:105329916		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105327652	NCBI:GeneID:105327652		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105342651	NCBI:GeneID:105342651		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105323382	NCBI:GeneID:105323382		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105322271	NCBI:GeneID:105322271		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105318817	NCBI:GeneID:105318817		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105327669	NCBI:GeneID:105327669		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105319359	NCBI:GeneID:105319359		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105342860	NCBI:GeneID:105342860		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105320161	NCBI:GeneID:105320161		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105348527	NCBI:GeneID:105348527		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105319593	NCBI:GeneID:105319593		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:117681409	NCBI:GeneID:117681409		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105338064	NCBI:GeneID:105338064		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105328791	NCBI:GeneID:105328791		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105336137	NCBI:GeneID:105336137		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136271312	NCBI:GeneID:136271312		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105340688	NCBI:GeneID:105340688		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105348059	NCBI:GeneID:105348059		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136271921	NCBI:GeneID:136271921		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105329662	NCBI:GeneID:105329662		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:117692946	NCBI:GeneID:117692946		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105326466	NCBI:GeneID:105326466		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105318899	NCBI:GeneID:105318899		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:117680363	NCBI:GeneID:117680363		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136275979	NCBI:GeneID:136275979		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:117682745	NCBI:GeneID:117682745		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105336745	NCBI:GeneID:105336745		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:136276347	NCBI:GeneID:136276347		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105327454	NCBI:GeneID:105327454		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105330549	NCBI:GeneID:105330549		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105331920	NCBI:GeneID:105331920		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105322333	NCBI:GeneID:105322333		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105344530	NCBI:GeneID:105344530		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105345814	NCBI:GeneID:105345814		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105329483	NCBI:GeneID:105329483		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:109618609	NCBI:GeneID:109618609		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105326350	NCBI:GeneID:105326350		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105325622	NCBI:GeneID:105325622		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105317162	NCBI:GeneID:105317162		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105342079	NCBI:GeneID:105342079		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105341799	NCBI:GeneID:105341799		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105343262	NCBI:GeneID:105343262		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105339318	NCBI:GeneID:105339318		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105331844	NCBI:GeneID:105331844		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:117683857	NCBI:GeneID:117683857		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105343307	NCBI:GeneID:105343307		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105334332	NCBI:GeneID:105334332		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:117685084	NCBI:GeneID:117685084		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105331590	NCBI:GeneID:105331590		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105327450	NCBI:GeneID:105327450		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105335014	NCBI:GeneID:105335014		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105331809	NCBI:GeneID:105331809		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105328728	NCBI:GeneID:105328728		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105337232	NCBI:GeneID:105337232		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105328910	NCBI:GeneID:105328910		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:109620963	NCBI:GeneID:109620963		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105323966	NCBI:GeneID:105323966		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105340538	NCBI:GeneID:105340538		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:117689267	NCBI:GeneID:117689267		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:109617782	NCBI:GeneID:109617782		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
NCBI:GeneID:105333392	NCBI:GeneID:105333392		exact	GCF_963853765.1-RS_2024_06	direct_gene_id_from_versioned_refseq_tx2gene
