study_id	condition	replicate	run_accession	experiment_accession	library_name	layout	read_length_bp	read_count	base_count	fastq_1	fastq_2	fastq_1_bytes	fastq_2_bytes	fastq_1_md5	fastq_2_md5	assignment_evidence
CGIG_THERMOTOL_RNASEQ_PRJNA694496	selected	A	SRR13576947	SRX9975018	N11A1	paired	150	23941716	7157538362	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/047/SRR13576947/SRR13576947_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/047/SRR13576947/SRR13576947_2.fastq.gz	1507760817	1589907698	d021a089bb85c4c8b36a78b52d561a4f	fd730cfef1c4a7e60a0a46b9900ae1d8	Supplementary Figure S2 selected A clean reads exactly match ENA read_count
CGIG_THERMOTOL_RNASEQ_PRJNA694496	selected	B	SRR13576945	SRX9975020	N11B1	paired	150	20502956	6132345376	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/045/SRR13576945/SRR13576945_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/045/SRR13576945/SRR13576945_2.fastq.gz	1125976873	1185486621	9a2ca1f1eeccb5ea58b60d836af7afb6	1223d7f9c44ccb38d9cc5ceb7abaead3	Supplementary Figure S2 selected B clean reads exactly match ENA read_count
CGIG_THERMOTOL_RNASEQ_PRJNA694496	selected	C	SRR13576944	SRX9975021	N11C1	paired	150	22183461	6633479370	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/044/SRR13576944/SRR13576944_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/044/SRR13576944/SRR13576944_2.fastq.gz	1203268112	1265946122	60bb4d2a2834396c96f4e6035b8937c5	62f1c67f06cce59e9bfa244f8acc00f9	Supplementary Figure S2 selected C clean reads exactly match ENA read_count
CGIG_THERMOTOL_RNASEQ_PRJNA694496	control	A	SRR13576943	SRX9975022	N4A1	paired	150	21776617	6506398832	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/043/SRR13576943/SRR13576943_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/043/SRR13576943/SRR13576943_2.fastq.gz	1345730394	1421367714	048b0060ba40625d0378650cce7eceff	7637cdfe01c59abb0c835edbd5a9c1ba	Supplementary Figure S2 control A clean reads exactly match ENA read_count
CGIG_THERMOTOL_RNASEQ_PRJNA694496	control	B	SRR13576942	SRX9975023	N4B1	paired	150	21642163	6459926642	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/042/SRR13576942/SRR13576942_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/042/SRR13576942/SRR13576942_2.fastq.gz	1344813456	1394139505	4b73473c25cff46fe833c52beec947a1	87d29e1a9bbe4647aa338a25748b6926	Supplementary Figure S2 control B clean reads exactly match ENA read_count
CGIG_THERMOTOL_RNASEQ_PRJNA694496	control	C	SRR13576946	SRX9975019	N4C1	paired	150	22367076	6690775012	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/046/SRR13576946/SRR13576946_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/046/SRR13576946/SRR13576946_2.fastq.gz	1405558142	1462226009	323d4b60f40fe292cce0421e710340f3	5aca8d2f429c5c529a5bcd481d0dfebe	Supplementary Figure S2 control C clean reads exactly match ENA read_count
