gene_set	gene_biotype	observed	expected	fold_enrichment	p_value_upper_tail	adjusted_p_value_bh
selected_higher_fdr_lt_0.05	lncRNA	362	283.8148970528866	1.2754792076067252	7.223630047669936e-08	2.8894520190679743e-07
selected_higher_fdr_lt_0.05	misc_RNA	25	24.603148970528867	1.0161300909061075	0.5009257847940534	0.914850155260685
selected_higher_fdr_lt_0.05	protein_coding	3949	4040.4082054905125	0.9773764924627423	0.9999999985523824	1.0
selected_higher_fdr_lt_0.05	rRNA	15	3.295064594267259	4.552262807259361	1.313422602534504e-10	7.880535615207024e-10
selected_higher_fdr_lt_0.05	snoRNA	1	0.2196709729511506	4.552262807259361	0.21967097294978144	0.6590129188493443
selected_higher_fdr_lt_0.05	transcribed_pseudogene	1	0.6590129188534517	1.5174209357531205	0.5248674583708639	0.914850155260685
selected_lower_fdr_lt_0.05	lncRNA	161	290.0740815502624	0.5550306292087762	0.9999999999963533	1.0
selected_lower_fdr_lt_0.05	misc_RNA	22	25.145740815502624	0.8748996564235944	0.7942882194888967	1.0
selected_lower_fdr_lt_0.05	protein_coding	4265	4129.514382317319	1.0328090920963573	2.2111468892648328e-21	2.6533762671177993e-20
selected_lower_fdr_lt_0.05	rRNA	0	3.3677331449333874	0.0	0.9999999999992426	1.0
selected_lower_fdr_lt_0.05	snoRNA	0	0.22451554299555915	0.0	1.0	1.0
selected_lower_fdr_lt_0.05	transcribed_pseudogene	1	0.6735466289866774	1.4846782048400389	0.533662590568733	0.914850155260685
