feature_id_original	feature_id_standardized	effect_size	adjusted_p_value	mapping_confidence	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	source_transcript_ids	gene_symbol	apeglm_log2FoldChange_ranking_only	same_molecular_direction
CGI_10002387	NCBI:GeneID:105327207	4.32192220592129	3.02612988199714e-86	inferred	418.037803287518	-0.800029217900331	0.225951980962466	-3.54070459790847	0.000399060098155	0.001719655673085	NCBI:GeneID:105327207	XM_066076755.1;XM_066076756.1;XM_066076757.1;XM_066076758.1;XM_066076759.1;XM_066076760.1	LOC105327207	-0.743846296815323	False
CGI_10002823	NCBI:GeneID:105322484	2.00483026167558	1.13310897261583e-10	inferred	9.91124861729894	2.57825634409732	0.863243107201845	2.98670944788033	0.002819975949912	0.009041262697663	NCBI:GeneID:105322484	NM_001308924.1	LOC105322484	1.95521369893866	True
CGI_10002068	NCBI:GeneID:105345749	1.87656832611718	1.5230454165924101e-09	inferred	63.1261452524537	1.54979074716262	0.676019519086098	2.29252366744937	0.0218754434359585	0.0493999986667206	NCBI:GeneID:105345749	XM_066083541.1;XM_066083542.1;XM_066083543.1	LOC105345749	1.04387190846032	True
CGI_10004164	NCBI:GeneID:105346578	1.65480473530871	6.0996220494064e-07	inferred	165.549314347108	3.11393836734046	0.96235960233253	3.23573263029019	0.0012133097420659	0.0044224649060512	NCBI:GeneID:105346578	XM_011455219.4	LOC105346578	2.44110993218241	True
CGI_10022941	NCBI:GeneID:105347705	1.45380139203642	4.09075948475e-05	inferred	55.765228094646	1.8930447872635	0.392103115549556	4.8279259005894	1.37962405901305e-06	1.21600850112476e-05	NCBI:GeneID:105347705	XM_011456876.4	LOC105347705	1.75434522886718	True
CGI_10011376	NCBI:GeneID:105343216	1.28445374338731	0.0005355103206907	inferred	26.0598689287514	0.978603569330123	0.785158935595759	1.24637640223452	0.212626240427108	0.314565543778296	NCBI:GeneID:105343216	XM_011450479.4	LOC105343216	0.434045122001053	True
CGI_10005393	NCBI:GeneID:105334814	1.18695215416974	0.0002887053730381	inferred	24.3748439441212	1.48000804856937	0.453369418223528	3.26446378842357	0.0010967148095881	0.0040609806087049	NCBI:GeneID:105334814	XM_034477253.2;XM_066070977.1;XM_066070978.1;XM_066070979.1;XM_066070980.1	LOC105334814	1.2642787955618	True
CGI_10008519	NCBI:GeneID:105317954	1.15082836909143	0.0016173298874471	inferred	137.496028136842	-0.77664000688057	0.275496312368239	-2.81905772242237	0.0048164855848145	0.0141299741453236	NCBI:GeneID:105317954	XM_011414775.4	LOC105317954	-0.694484198331844	False
CGI_10026431	NCBI:GeneID:105326482	1.150120193386	4.247199380415e-17	inferred	850.373160812617	-0.871035404640533	0.137360938874205	-6.34121615489411	2.27958437590774e-10	4.57625986061155e-09	NCBI:GeneID:105326482	XM_011426547.3	LOC105326482	-0.84974759172571	False
CGI_10028633	NCBI:GeneID:105328475	1.15008253371278	0.0001719091194304	inferred	91.8240405052404	2.7421506546412	0.491992076766848	5.57356669778381	2.49576037246641e-08	3.32779246433711e-07	NCBI:GeneID:105328475	XM_011429370.4	LOC105328475	2.57511197988753	True
CGI_10024054	NCBI:GeneID:105329159	1.14936449688765	0.0027856313632853	inferred	478.368535534178	0.218544732718206	0.206383108112238	1.05892742248728	0.289632834351893	0.400138403280463	NCBI:GeneID:105329159	XM_011430341.3	LOC105329159	0.198835335910493	True
CGI_10018622	NCBI:GeneID:105334789	1.09405699083958	0.0097583895547009	inferred	26.269410677091	0.676021725454774	0.510499263689982	1.32423643585373	0.185424533531456	0.282159719483317	NCBI:GeneID:105334789	XM_066066119.1	LOC105334789	0.443382893317764	True
CGI_10000078	NCBI:GeneID:105338126	1.08382119739984	0.0023236564909296	inferred	2309.04307079942	-0.770175372838375	0.103061003547028	-7.47300478679054	7.83839951108164e-14	2.65941862863992e-12	NCBI:GeneID:105338126	XM_011443120.4;XM_066079821.1	LOC105338126	-0.758386725787471	False
CGI_10011184	NCBI:GeneID:105319633	1.02186405442204	0.0003556893736016	inferred	30.6904315586825	0.964389995215397	0.42782605483956	2.25416377592303	0.0241858667252785	0.0536639152625609	NCBI:GeneID:105319633	XM_066080825.1	LOC105319633	0.762839169232225	True
CGI_10026192	NCBI:GeneID:105337015	0.980638246030718	0.0010324790724451	inferred	555.097939980354	2.21562979684995	0.179060313258408	12.3736508472008	3.62941678510151e-35	8.46038402117661e-33	NCBI:GeneID:105337015	XM_011441570.4	LOC105337015	2.19083481260154	True
CGI_10010647	NCBI:GeneID:105348305	0.98009263620631	0.0155784156078768	inferred	32.9891608018749	2.06105732777251	0.61045111377477	3.37628563739988	0.0007347159948421	0.0028907193649328	NCBI:GeneID:105348305	NM_001308913.1	LOC105348305	1.71841458764246	True
CGI_10027877	NCBI:GeneID:105347888	0.969865254877932	0.0126852669706047	inferred	141.127885411915	1.05301092219654	0.242004968245594	4.351195472681	1.35397275529231e-05	9.04200073251159e-05	NCBI:GeneID:105347888	XM_011457126.4;XM_011457127.4;XM_011457128.4;XM_034469629.2	LOC105347888	0.988197942976166	True
CGI_10002594	NCBI:GeneID:105334510	0.961372552661201	0.015987089882252	inferred	53.1628142998145	2.46459132007783	0.707492910337135	3.48355620822179	0.0004947992093624	0.0020648592111008	NCBI:GeneID:105334510	XM_011437990.4	LOC105334510	2.0541775428402	True
CGI_10019614	NCBI:GeneID:105321711	0.960647763110229	0.0126180420496369	inferred	192.710761267098	0.181732387912412	0.223740620985119	0.812245836774089	0.416650582877308	0.529878989032797	NCBI:GeneID:105321711	XM_011420126.4	LOC105321711	0.162527328001492	True
CGI_10003417	NCBI:GeneID:105334234	0.951982074705871	0.0499018099172582	inferred	72.9734432912598	4.56285508880885	0.822879513167101	5.5449856458904	2.93978286613521e-08	3.85323865468067e-07	NCBI:GeneID:105334234	XM_011437603.4	LOC105334234	4.26033005321093	True
CGI_10005413	NCBI:GeneID:105340677	0.917143851138301	0.0417352854101084	inferred	91.416469266257	0.0399981400663205	0.27514797551239	0.14536955974993	0.884419097138397	0.920807103709747	NCBI:GeneID:105340677	XM_066081947.1	LOC105340677	0.0340947238237361	True
CGI_10022740	NCBI:GeneID:105340479	0.91592958899181	0.0248468259986172	inferred	1058.03630083235	0.36334490551841	0.11246815566722	3.23064696280345	0.0012351039070026	0.0044870459870463	NCBI:GeneID:105340479	XM_011446530.4;XM_011446531.4;XM_020072289.3;XM_020072290.3;XM_020072293.3;XM_020072294.3;XM_020072296.3;XM_020072297.3;XM_066071737.1;XM_066071738.1;XM_066071739.1;XM_066071740.1;XM_066071741.1;XM_066071742.1;XM_066071743.1	LOC105340479	0.353925688303042	True
CGI_10021953	NCBI:GeneID:105344245	0.872486080788415	0.0372582860173497	inferred	1116.31224691952	-0.544477107974714	0.197506910396399	-2.75674965945212	0.0058379027527773	0.0165909645931628	NCBI:GeneID:105344245	XM_034460935.2	LOC105344245	-0.506780564161506	False
CGI_10000743	NCBI:GeneID:105329152	0.867262748146603	0.0005996575370394	inferred	88.2867092748283	1.95743877278718	0.579161760883645	3.37977902719382	0.0007254412921452	0.0028610457329947	NCBI:GeneID:105329152	XM_011430336.3	LOC105329152	1.64355495050837	True
CGI_10022884	NCBI:GeneID:105340536	0.845988149745036	0.0038423587871549	inferred	276.185821778507	0.686607135530452	0.222520999522905	3.08558354942935	0.0020315313958263	0.006875215815972	NCBI:GeneID:105340536	XM_034483346.2	LOC105340536	0.634852795759957	True
CGI_10011513	NCBI:GeneID:105317854	0.839371052594848	0.0323888993743929	inferred	135.860932876223	6.52099521293707	1.27381694598148	5.1192561329231	3.0674313122028e-07	3.2294412337931e-06	NCBI:GeneID:105317854	XM_011414624.4	LOC105317854	5.9930970281591	True
CGI_10023822	NCBI:GeneID:105324940	0.824129638711445	1.2094514285e-06	inferred	1455.40034735336	0.211839072090716	0.128757902450001	1.64525103360531	0.0999180532089263	0.17194924548477	NCBI:GeneID:105324940	XM_066075985.1;XM_066075986.1;XM_066075987.1;XM_066075988.1;XM_066075989.1;XM_066075990.1;XM_066075991.1;XM_066075992.1;XM_066075993.1;XM_066075994.1;XM_066075996.1;XM_066075997.1	LOC105324940	0.206189367290743	True
CGI_10015364	NCBI:GeneID:105349068	0.757021074089616	0.0286820170002523	inferred	92.3073069043614	0.297878085341595	0.437317820748483	0.681147831642827	0.495777953917478	0.605519594336492	NCBI:GeneID:105349068	XM_034447967.2;XM_066075071.1	LOC105349068	0.206595335518003	True
CGI_10026304	NCBI:GeneID:105345814	0.66337519861448	3.40747219395e-05	inferred	1481.77843334629	1.49536101641628	0.142643057798479	10.4832372461398	1.0315121167965101e-25	1.2538884099512901e-23	NCBI:GeneID:105345814	XM_011454131.4	LOC105345814	1.4754378772771	True
CGI_10009013	NCBI:GeneID:105322650	0.651128031787295	1.43953199413143e-07	inferred	666.830053757272	1.6416156489232	0.310133203249434	5.29325990162646	1.20154963722429e-07	1.39251836004812e-06	NCBI:GeneID:105322650	XM_011421487.4;XM_066069702.1;XM_066069703.1;XM_066069704.1;XM_066069705.1;XM_066069707.1;XM_066069708.1	LOC105322650	1.54954726690471	True
CGI_10015297	NCBI:GeneID:117692972	0.611608376278604	0.0320381841399734	inferred	540.249156763149	-0.132923110506393	0.143613945348965	-0.925558518592369	0.354675459115098	0.468096952434994	NCBI:GeneID:117692972	XM_034482687.2;XM_066079339.1;XM_066079340.1;XM_066079341.1	LOC117692972	-0.126309794601005	False
CGI_10007836	NCBI:GeneID:105322068	0.588221957744014	0.0218251234649726	inferred	37.4340094416113	1.410151414666	0.493811063102505	2.85564970093285	0.004294887035154	0.0128373648686893	NCBI:GeneID:105322068	XM_034467380.2	LOC105322068	1.14617734180135	True
CGI_10024254	NCBI:GeneID:105321505	-0.619765253631797	0.0316262229088409	inferred	677.434971144041	0.016306845312008	0.141237831791468	0.115456638672309	0.908083187896712	0.936450527436256	NCBI:GeneID:105321505	XM_020064587.3	LOC105321505	0.0156614390703294	False
CGI_10022807	NCBI:GeneID:105331506	-0.632389537578046	0.0320381841399734	inferred	2326.38787310146	0.250021519539874	0.155035072025545	1.61267715926031	0.106814665354353	0.18142219695658	NCBI:GeneID:105331506	XM_011433728.4	LOC105331506	0.237071587932616	False
CGI_10014469	NCBI:GeneID:105345576	-0.632479702677402	0.0030617253712428	inferred	3100.03473892643	-1.12482802457068	0.219555671479686	-5.12320186032977	3.00390458175226e-07	3.17267406091893e-06	NCBI:GeneID:105345576	XM_066066731.1	LOC105345576	-1.07079823171906	True
CGI_10008158	NCBI:GeneID:105321326	-0.813485591180958	0.0160417539825921	inferred	2420.84478142962	-0.727313664085745	0.13144215253981	-5.53333652889976	3.14195810124634e-08	4.07426425511093e-07	NCBI:GeneID:105321326	XM_034461533.2;XM_034461541.2;XM_034461548.2	LOC105321326	-0.708027009833911	True
CGI_10021245	NCBI:GeneID:105347437	-0.832093803350336	0.0425546049080369	inferred	103.040069057445	-0.732718543542659	0.234961845126434	-3.11845756551826	0.0018180031908742	0.0062548906449006	NCBI:GeneID:105347437	XM_020075002.3;XR_010707827.1;XR_010707828.1	LOC105347437	-0.673152919209784	True
CGI_10007659	NCBI:GeneID:105321203	-0.869431351492647	0.0087281781458689	inferred	143.622677104905	3.83220771972905	0.593788785847438	6.45382299408001	1.09063189422449e-10	2.3038145364780503e-09	NCBI:GeneID:105321203	XM_034457089.2	LOC105321203	3.65170452489374	False
CGI_10013942	NCBI:GeneID:105326222	-0.869857451467915	0.007878074569664	inferred	247.024354007964	-0.564620217549317	0.22212682734281	-2.54188215040741	0.0110257342349876	0.028145310246334	NCBI:GeneID:105326222	XM_020066308.3	LOC105326222	-0.516775075737548	True
CGI_10010795	NCBI:GeneID:105317263	-0.970880732435848	0.0442394069740856	inferred	1771.44933270153	-0.026021396898527	0.115936474815881	-0.224445300237494	0.822410825177726	0.876418441890575	NCBI:GeneID:105317263	XM_066081864.1;XM_066081865.1;XM_066081866.1	LOC105317263	-0.0250282498596269	True
CGI_10028184	NCBI:GeneID:105348472	-1.04163142532725	0.0009751741217483	inferred	56.7038867630418	0.04304622333204	0.310533544242985	0.138620204258376	0.889750276764384	0.924172362330127	NCBI:GeneID:105348472	XM_066065707.1;XR_010707506.1;XR_010707507.1;XR_010707508.1;XR_010707509.1;XR_010707510.1;XR_010707511.1;XR_010707512.1;XR_010707513.1;XR_010707514.1;XR_010707515.1;XR_010707516.1;XR_010707517.1	LOC105348472	0.0351815525287761	False
CGI_10024064	NCBI:GeneID:109617077	-1.04472319375289	0.0039645979671661	inferred	230.309050147945	-0.529913624627373	0.187739214442433	-2.82260488945351	0.0047635237153309	0.0140057069143149	NCBI:GeneID:109617077	XM_066083840.1;XM_066083841.1	LOC109617077	-0.496267665846853	True
CGI_10024482	NCBI:GeneID:105332034	-1.09659054111521	0.003681367067657	inferred	16.4245439368238	0.959376336203341	0.840469057470118	1.14147728304376	0.253671360174312	0.360608197345614	NCBI:GeneID:105332034	XR_010712412.1;XR_010712413.1	LOC105332034	0.38376430052303	False
CGI_10008967	NCBI:GeneID:105317118	-1.1246862495793	8.99221721063e-05	inferred	9.65466163080434	0.475855507493008	0.829593394974061	0.573600887345404	0.566237911166936	0.669214467044434	NCBI:GeneID:105317118	XM_011413652.4;XM_011413653.4;XM_011413654.4	LOC105317118	0.179085951819491	False
CGI_10027146	NCBI:GeneID:105325026	-1.27453090253248	0.0003273532275328	inferred	356.894887966795	-0.262560607098358	0.166300142129867	-1.57883573480845	0.114373739708263	0.191466819751566	NCBI:GeneID:105325026	XM_011424386.4;XM_034447612.2;XM_034447613.2;XM_034447614.2;XM_034447615.2;XM_034447619.2;XM_034447620.2;XM_066077323.1;XM_066077324.1;XM_066077325.1;XM_066077326.1;XM_066077327.1;XM_066077328.1	LOC105325026	-0.246625764581506	True
CGI_10001551	NCBI:GeneID:105324494	-1.36252800262071	1.95768302889e-05	inferred	584.414390494108	0.0687514290955631	0.163097504589588	0.421535751074588	0.673363910798597	0.760013245717083	NCBI:GeneID:105324494	XM_066070364.1;XM_066070365.1;XM_066070366.1;XM_066070367.1;XM_066070369.1;XM_066070370.1;XM_066070371.1;XM_066070372.1;XM_066070373.1;XM_066070374.1;XM_066070375.1;XM_066070376.1;XM_066070377.1;XM_066070378.1;XM_066070379.1	LOC105324494	0.0647676197051622	False
CGI_10007809	NCBI:GeneID:105319227	-1.6867149836549	1.01349790384326e-07	inferred	516.456146437572	-0.0260256488553395	0.149750725072325	-0.17379314085304	0.862028035168406	0.905104312904816	NCBI:GeneID:105319227	XM_034471027.2;XM_034471031.2;XM_034471037.2	LOC105319227	-0.0244487312808404	True
CGI_10027954	NCBI:GeneID:105323449	-2.37668520893587	1.9925233390632e-15	inferred	222.718179874032	-1.39480295225446	0.43273930437579	-3.22319451492027	0.0012676943646385	0.0045936532810803	NCBI:GeneID:105323449	XM_034472785.2	LOC105323449	-1.19302899842558	True
CGI_10016700	NCBI:GeneID:105332479	-2.38083187455203	1.11360073807862e-15	inferred	109.591725274289	-1.32382034233868	0.448560435113487	-2.9512641747009	0.003164761119983	0.0099156509853486	NCBI:GeneID:105332479	XM_011435108.4;XM_011435109.4;XM_011435110.4	LOC105332479	-1.10578303717921	True
CGI_10010392	NCBI:GeneID:105318008	-2.42981587493421	1.09991808935269e-22	inferred	17.244687939801	0.276230928055	0.674312068278248	0.409648501116572	0.682063812809574	0.767353632578099	NCBI:GeneID:105318008	XM_034443895.2	LOC105318008	0.130629254764909	False
CGI_10001445	NCBI:GeneID:105344569	-2.58931487891918	1.8608809812857e-18	inferred	684.148477641111	-0.502098608996563	0.190087782356906	-2.64140389651045	0.0082563227040486	0.0220740491240076	NCBI:GeneID:105344569	XM_066082957.1;XM_066082958.1	LOC105344569	-0.472089943076228	True
CGI_10018182	NCBI:GeneID:105325493	-2.75777734667264	7.18547290814157e-24	inferred	761.751321610732	-0.319022131433461	0.12525870765598	-2.54690581919181	0.0108682760693738	0.027789911219328	NCBI:GeneID:105325493	XM_011425080.4;XM_066068549.1;XM_066068555.1	LOC105325493	-0.308143588144098	True
