feature_id_standardized	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	source_transcript_ids	gene_symbol	apeglm_log2FoldChange_ranking_only	absolute_shrunken_effect
NCBI:GeneID:105335286	34.9498765039781	8.78253768793719	1.28915486879903	6.81263198122886	9.582906905658289e-12	2.43742897854574e-10	NCBI:GeneID:105335286	XM_011439112.4	LOC105335286	9.54547666262877	9.54547666262877
NCBI:GeneID:105348281	39.0181723475764	-8.5009594038873	1.2342593924125	-6.88749824886581	5.67820719185754e-12	1.49017214966179e-10	NCBI:GeneID:105348281	XM_034471422.2;XM_034471423.2;XM_034471424.2	LOC105348281	-9.45845185932191	9.45845185932191
NCBI:GeneID:105326897	28.9865268332132	8.51232806278997	1.34205076557295	6.34277650380526	2.25660690310554e-10	4.5393308810287505e-09	NCBI:GeneID:105326897	XM_034464678.2;XM_066081976.1	LOC105326897	9.20220492411796	9.20220492411796
NCBI:GeneID:136273915	30.0509900809773	8.56910237058246	1.46223896001866	5.86026128757582	4.62139429287787e-09	7.17057999366344e-08	NCBI:GeneID:136273915	XM_066079637.1	LOC136273915	9.18261316100927	9.18261316100927
NCBI:GeneID:105340796	25.1862776046156	8.30811683342517	1.30322702869563	6.37503416556714	1.82922168424066e-10	3.73651530428294e-09	NCBI:GeneID:105340796	XM_011447014.4;XM_034471483.2	LOC105340796	8.98713002474752	8.98713002474752
NCBI:GeneID:136275165	28.0496680436722	-8.02425071272678	1.24416203999061	-6.4495222123859	1.1220331533538001e-10	2.36258925616921e-09	NCBI:GeneID:136275165	XR_010713695.1	LOC136275165	-8.88377347761352	8.88377347761352
NCBI:GeneID:117689320	19.8366902592633	7.98891168560355	1.29716143546367	6.15876441219357	7.33146951998276e-10	1.32662773578939e-08	NCBI:GeneID:117689320	XR_004601660.2	LOC117689320	8.61239486362203	8.61239486362203
NCBI:GeneID:136270812	19.881961012494	7.96743085636066	1.32866133839114	5.99658515390258	2.01509964772476e-09	3.39138863522041e-08	NCBI:GeneID:136270812	XR_010708670.1	LOC136270812	8.56163218207594	8.56163218207594
NCBI:GeneID:105329076	19.4560748935189	7.94391178535023	1.2983459878436	6.11848602739871	9.44685638777134e-10	1.66975925483766e-08	NCBI:GeneID:105329076	XM_011430231.4	LOC105329076	8.55741132542483	8.55741132542483
NCBI:GeneID:105348359	116.589854195539	8.52885136984292	1.05204023951289	8.10696306996006	5.19006268207188e-16	2.3371795905129998e-14	NCBI:GeneID:105348359	XM_011457739.4	LOC105348359	8.275374456249	8.275374456249
