feature_id_standardized	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	source_transcript_ids	gene_symbol	apeglm_log2FoldChange_ranking_only	absolute_shrunken_effect
NCBI:GeneID:117685861	15.9092053979916	7.64263694320649	1.41960440801006	5.38363849822051	7.29950334305069e-08	8.82981436136791e-07	NCBI:GeneID:117685861	XM_066075687.1;XM_066075691.1	LOC117685861	8.09461954767447	8.09461954767447
NCBI:GeneID:136273712	14.9842563687535	7.55983208524378	1.35278708162503	5.58833846651062	2.29252486435688e-08	3.08378056092106e-07	NCBI:GeneID:136273712	XR_010711938.1	LOC136273712	8.04895117962862	8.04895117962862
NCBI:GeneID:136273852	13.7313647897804	7.45425363398445	1.33493978314038	5.58396245892732	2.35099474691377e-08	3.15386661579888e-07	NCBI:GeneID:136273852	XM_066079525.1	LOC136273852	7.93633772284428	7.93633772284428
NCBI:GeneID:117693079	13.4492940221368	7.40217854484907	1.35926606922982	5.44571715017006	5.15970729798623e-08	6.450122422858e-07	NCBI:GeneID:117693079	XM_066079352.1	LOC117693079	7.85155707703539	7.85155707703539
NCBI:GeneID:105333946	45.2855799629073	8.17808065626587	1.22475775522055	6.67730465180294	2.4337669152698897e-11	5.77516858193505e-10	NCBI:GeneID:105333946	XM_011437189.4;XM_066076551.1;XM_066076552.1	LOC105333946	7.79807103168925	7.79807103168925
NCBI:GeneID:117688221	15.1467882410154	-7.13470511656487	1.31285472194155	-5.4344970523574	5.49512054982755e-08	6.84781877825679e-07	NCBI:GeneID:117688221	XR_010710690.1	LOC117688221	-7.7467061759687	7.7467061759687
NCBI:GeneID:136274500	13.388039105589	7.39213092976745	1.465098065836	5.04548541981005	4.52371391849849e-07	4.53148976648782e-06	NCBI:GeneID:136274500	XR_010712886.1	LOC136274500	7.74309291982631	7.74309291982631
NCBI:GeneID:105337520	12.4271747342147	7.28285853006203	1.36606196825884	5.3312797656937	9.75230419268403e-08	1.14950716998121e-06	NCBI:GeneID:105337520	XM_066073470.1;XR_010710188.1;XR_010710189.1	LOC105337520	7.69781774036584	7.69781774036584
NCBI:GeneID:136276497	11.9608284379253	7.24673839854155	1.33280479046113	5.43720914751086	5.41215958994538e-08	6.75293010800868e-07	NCBI:GeneID:136276497	XR_010714967.1	LOC136276497	7.68335086149764	7.68335086149764
NCBI:GeneID:105347896	11.710043879243	7.19347904573371	1.45681749013148	4.93780387348624	7.90072394134594e-07	7.42623074828409e-06	NCBI:GeneID:105347896	XR_903464.4	LOC105347896	7.50193092196349	7.50193092196349
NCBI:GeneID:136276641	9.7162856925211	6.93421252107613	1.38276289903418	5.01475164391485	5.3102011936608e-07	5.23464310702463e-06	NCBI:GeneID:136276641	XM_066089163.1;XM_066089164.1	LOC136276641	7.24810973510251	7.24810973510251
NCBI:GeneID:136271734	8.79924596317315	6.79546594220931	1.39370946048545	4.87581245221824	1.08361526489233e-06	9.84896920118192e-06	NCBI:GeneID:136271734	XM_066072163.1	LOC136271734	7.06244416494583	7.06244416494583
NCBI:GeneID:117684693	44.6536993928671	7.31580533280666	1.08601095052908	6.73640107334332	1.62357742624101e-11	3.98138157469546e-10	NCBI:GeneID:117684693	XM_034457837.2;XM_066066246.1	LOC117684693	7.00996241818551	7.00996241818551
NCBI:GeneID:136274791	8.62554360675666	6.75912077394047	1.41245487952929	4.78537110947784	1.70671683731687e-06	1.4639345201124e-05	NCBI:GeneID:136274791	XR_010713217.1	LOC136274791	6.9968054008983	6.9968054008983
NCBI:GeneID:105341705	9.65046178353573	-6.48550017173016	1.3655192066444	-4.74947561350492	2.03944787109576e-06	1.71299788545534e-05	NCBI:GeneID:105341705	XM_066066930.1	LOC105341705	-6.86755248146173	6.86755248146173
