,selected_A,selected_B,selected_C,control_A,control_B,control_C
selected_A,1,0.952857180560122,0.954489527200904,0.950469190971198,0.95056199767774,0.95103231402672
selected_B,0.952857180560122,1,0.99070768268817,0.900273819098563,0.899681726709402,0.899660027100447
selected_C,0.954489527200904,0.99070768268817,1,0.901381145071674,0.900976463616607,0.900676719322927
control_A,0.950469190971198,0.900273819098563,0.901381145071674,1,0.995768242955431,0.99578964557919
control_B,0.95056199767774,0.899681726709402,0.900976463616607,0.995768242955431,1,0.995845113991226
control_C,0.95103231402672,0.899660027100447,0.900676719322927,0.99578964557919,0.995845113991226,1
