feature_id_standardized	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	source_transcript_ids	gene_symbol	apeglm_log2FoldChange_ranking_only
NCBI:GeneID:117686572	1363.82338987701	-5.92081186464876	0.187278993976922	-31.6149277552097	2.30225278833087e-219	4.56168367479879e-215	NCBI:GeneID:117686572	XM_066088680.1;XM_066088681.1;XM_066088682.1	LOC117686572	-5.90900853683785
NCBI:GeneID:105331877	834.38476135399	-4.37252196491254	0.168072125053182	-26.0157474865566	3.2859465470426004e-149	3.2553872441551e-145	NCBI:GeneID:105331877	XM_011434248.4;XM_034446928.2	LOC105331877	-4.3600240537168
NCBI:GeneID:105338552	2594.76584659678	-3.12573801204004	0.126338547321764	-24.7409684399749	3.8781140166645195e-135	2.56136503753969e-131	NCBI:GeneID:105338552	XM_011443731.4	LOC105338552	-3.11608138761722
NCBI:GeneID:117681484	1343.97127737845	-4.29297003878727	0.191168650319602	-22.4564541916791	1.10675823395572e-111	5.48232691189965e-108	NCBI:GeneID:117681484	XM_034446217.2	LOC117681484	-4.27622539353516
NCBI:GeneID:105318991	903.507105889891	-3.39137574211895	0.159111402317435	-21.314473335814	8.33397667558287e-101	3.3025882769999803e-97	NCBI:GeneID:105318991	XM_034469299.2	LOC105318991	-3.37726084294343
NCBI:GeneID:105321245	823.430833888955	-3.99072366692226	0.189563164655861	-21.0522106136345	2.18259072349559e-98	7.20764209922359e-95	NCBI:GeneID:105321245	XR_010710186.1	LOC105321245	-3.9732316193006
NCBI:GeneID:117686571	766.069813622526	-4.94963442567829	0.236276852002483	-20.9484525620237	1.9382773350802e-97	5.48643244532559e-94	NCBI:GeneID:117686571	XM_034461749.2	LOC117686571	-4.92698796297384
NCBI:GeneID:105340999	784.111168265057	5.90506978877945	0.287563051689827	20.5348696714654	1.0509600915033701e-93	2.60296540663097e-90	NCBI:GeneID:105340999	XM_066070070.1	LOC105340999	5.87836851826265
NCBI:GeneID:105323084	711.449338901092	-3.00308900661207	0.149981419119741	-20.023073686311	3.46661228637889e-89	7.6319395380346e-86	NCBI:GeneID:105323084	XM_020065174.3	LOC105323084	-2.98914852856941
NCBI:GeneID:105338869	605.480680709752	-3.4096214139659	0.174156581889263	-19.5779072888207	2.38624437085001e-85	4.47388372849235e-82	NCBI:GeneID:105338869	XM_034446827.2;XM_066075508.1	LOC105338869	-3.39274692325823
NCBI:GeneID:105344090	371.71417519251	-4.9654289881192	0.253650525028475	-19.5758671800966	2.48373478416351e-85	4.47388372849235e-82	NCBI:GeneID:105344090	XM_011451713.4;XM_034469564.2	LOC105344090	-4.9403037993272
NCBI:GeneID:105335041	1970.40832794654	-5.70872533995967	0.293135737401842	-19.4746822429704	1.80037939639685e-84	2.97272644668393e-81	NCBI:GeneID:105335041	XM_020070081.3	LOC105335041	-5.67799425097388
NCBI:GeneID:105348543	3156.61729554926	2.07983699042837	0.10982398227497	18.9379127158311	5.55563146662092e-80	8.467637067663609e-77	NCBI:GeneID:105348543	XM_011458017.4;XM_011458018.4	LOC105348543	2.07147171213449
NCBI:GeneID:105342460	1074.87533009729	-3.29398386477914	0.178290129006593	-18.4754135471927	3.25721822113546e-76	4.43927989827553e-73	NCBI:GeneID:105342460	XM_066073498.1;XM_066073499.1	LOC105342460	-3.27573084032468
NCBI:GeneID:136276469	538.935059988072	2.75848605434096	0.149319425634782	18.473725321499	3.36071456920021e-76	4.43927989827553e-73	NCBI:GeneID:136276469	XM_066088535.1	LOC136276469	2.74400057304862
NCBI:GeneID:105341033	1098.74519158238	-2.09796540881932	0.117562903134951	-17.8454712572983	3.13447739828383e-71	3.88165844809974e-68	NCBI:GeneID:105341033	XM_011447314.4;XM_011447315.4	LOC105341033	-2.08668631449288
NCBI:GeneID:105339449	809.072066713395	-2.31373060804523	0.130112142907473	-17.7825878226492	9.64247595221634e-71	1.1238589324542e-67	NCBI:GeneID:105339449	XM_011445010.4;XM_066088928.1;XM_066088929.1	LOC105339449	-2.30081975230962
NCBI:GeneID:136270966	673.426290711313	4.42533189490927	0.249787070497121	17.7164169710708	3.1323930249509e-70	3.44806863313206e-67	NCBI:GeneID:136270966	XM_066069999.1	LOC136270966	4.39848540447836
NCBI:GeneID:105318009	2938.07032167372	-3.19849603635729	0.181001512119665	-17.6711011908159	7.00167052815739e-70	7.30163683394266e-67	NCBI:GeneID:105318009	XM_011414869.4	LOC105318009	-3.18903759042851
NCBI:GeneID:136271471	1356.20150316418	-2.21942219121941	0.126130826217679	-17.5961916509536	2.6345522097644697e-69	2.61005087421367e-66	NCBI:GeneID:136271471	XM_066071543.1	LOC136271471	-2.20684775788642
NCBI:GeneID:105343145	517.22418789661	-3.11880275170508	0.180003258087865	-17.3263683381925	2.97533511429116e-67	2.8072995216459498e-64	NCBI:GeneID:105343145	XM_011450381.4	LOC105343145	-3.09909647334036
NCBI:GeneID:105322971	819.199614109928	-2.12924476779183	0.123453922598993	-17.2472832208671	1.17286209360342e-66	1.05632225102992e-63	NCBI:GeneID:105322971	XM_011421885.4;XM_011421886.3;XM_066065660.1	LOC105322971	-2.11689323771622
NCBI:GeneID:109619724	755.644889645985	-2.73771201687598	0.158810126188565	-17.2389008344803	1.35590369978335e-66	1.16808156119597e-63	NCBI:GeneID:109619724	XM_034453785.2	LOC109619724	-2.72073254103085
NCBI:GeneID:105326403	761.729280357484	2.12278043204884	0.124897040889871	16.996242800665	8.75548566074844e-65	7.228383036752901e-62	NCBI:GeneID:105326403	XR_010714290.1	LOC105326403	2.11040861030794
NCBI:GeneID:105340827	418.595109118191	-4.08781226353353	0.24110779738282	-16.9542930917456	1.78900081045637e-64	1.4178904823353e-61	NCBI:GeneID:105340827	XM_011447046.4	LOC105340827	-4.06039890785729
NCBI:GeneID:105327622	348.689849293	-6.3157639051326	0.374154919910175	-16.8800771259372	6.30623846779776e-64	4.80583880772865e-61	NCBI:GeneID:105327622	XM_011428203.4;XM_066087623.1;XR_010714658.1	LOC105327622	-6.27429841049319
NCBI:GeneID:136270843	4673.96770919476	-1.70430001365947	0.102433165110325	-16.6381660844304	3.68739254255959e-62	2.70599984586206e-59	NCBI:GeneID:136270843	XM_066069640.1	LOC136270843	-1.69444545278052
NCBI:GeneID:105335771	799.58504289541	3.87749443225038	0.236412903218881	16.4013654900233	1.86987426370136e-60	1.32320316646353e-57	NCBI:GeneID:105335771	XM_034471712.2	LOC105335771	3.85038197932441
