feature_id_standardized	log2FoldChange_full	pvalue_full	padj_full	log2FoldChange_leave_one_out	pvalue_leave_one_out	padj_leave_one_out	same_direction	significant_full	significant_leave_one_out
NCBI:GeneID:105317035	0.41196238525985	0.252755998939969	0.359623230960122	0.499246501791943	0.132485036057512	0.185715082055716	TRUE	FALSE	FALSE
NCBI:GeneID:105317040	0.872797614348199	0.0682421512140829	0.125599614109542	1.02948657142485	0.042703550126822	0.0682639772123508	TRUE	FALSE	FALSE
NCBI:GeneID:105317043	0.0384486057274639	0.809832511440941	0.866883921215062	0.00581574055434366	0.970310279298373	0.977263964146204	TRUE	FALSE	FALSE
NCBI:GeneID:105317044	-0.692461165872473	0.00182020047972416	0.00626136324744004	-0.951249831404341	1.42463631795468e-35	2.97477273725922e-34	TRUE	TRUE	TRUE
NCBI:GeneID:105317052	-0.0385978759520558	0.925244206240315	0.948509349257326	-0.142324881912209	0.734261673814721	0.785856296425196	TRUE	FALSE	FALSE
NCBI:GeneID:105317054	0.372762116192595	0.0208610387034633	0.0474940389371965	0.445544421985216	0.00059807542600577	0.00137663638537929	TRUE	TRUE	TRUE
NCBI:GeneID:105317055	-0.161730311630819	0.367727093211931	0.48144209230218	-0.0225795716938025	0.830952087788693	0.86750680004324	TRUE	FALSE	FALSE
NCBI:GeneID:105317056	-0.125247919187244	0.302482944228828	0.414051610151987	-0.159928502092376	0.0780921291785695	0.116852196013179	TRUE	FALSE	FALSE
NCBI:GeneID:105317057	-0.10771444280679	0.478116424671918	0.588373831865606	-0.0131431202628372	0.875891716038472	0.9039461613988	TRUE	FALSE	FALSE
NCBI:GeneID:105317060	-2.30943591206763	0.0195695534101574	0.0450454381120886	-1.80279875206293	0.0363974499255696	0.0590996286238191	TRUE	TRUE	FALSE
NCBI:GeneID:105317061	-0.292863745967182	0.0073030629421619	0.019983826700179	-0.230667754359045	5.11335924475229e-09	2.24074141517053e-08	TRUE	TRUE	TRUE
NCBI:GeneID:105317066	-0.413299102117904	0.101744630287939	0.174557806262466	-0.60116700554697	0.00423773836214613	0.00833498991407322	TRUE	FALSE	TRUE
NCBI:GeneID:105317071	-0.78385807341106	0.372586210888986	0.486229545053966	-1.63255866174102	0.035548394288867	0.0578679849854752	TRUE	FALSE	FALSE
NCBI:GeneID:105317076	-0.425144575040301	0.00227029691227402	0.00754759446640896	-0.415885523914565	0.00104354344393185	0.00229688513661596	TRUE	TRUE	TRUE
NCBI:GeneID:105317077	-1.59270055981863	0.000601095208284111	0.00244109458022984	-2.53015280698096	2.95919756893658e-54	1.12985470185062e-52	TRUE	TRUE	TRUE
NCBI:GeneID:105317079	-0.526621028870162	0.212017528152349	0.313852469391905	-0.167947202167917	0.577637015850363	0.649172276980311	TRUE	FALSE	FALSE
NCBI:GeneID:105317082	5.67796440214667	9.83099311841613e-05	0.000512608678021835	6.07360460793121	1.26466709516148e-05	3.74374711050491e-05	TRUE	TRUE	TRUE
NCBI:GeneID:105317090	-0.326767592022256	0.0144417214670451	0.035114525604127	-0.354882787886913	0.00206011801378439	0.00430035800707379	TRUE	TRUE	TRUE
NCBI:GeneID:105317091	0.661068948128082	0.0142846562723694	0.0347931506510819	0.9073071449985	1.76463752659839e-11	9.73227309409234e-11	TRUE	TRUE	TRUE
NCBI:GeneID:105317092	-0.660478500867051	0.0476986920018727	0.0939706409395593	-0.756150244317469	0.0452215480243101	0.0718958757742081	TRUE	FALSE	FALSE
NCBI:GeneID:105317094	0.180619827177005	0.555483122140483	0.659738748846727	0.373619974028945	0.180240652976294	0.242326397949538	TRUE	FALSE	FALSE
NCBI:GeneID:105317098	0.541675661029805	0.0320118263075586	0.0674649826986721	0.767805335277854	3.26274498823403e-08	1.32001949136067e-07	TRUE	FALSE	TRUE
NCBI:GeneID:105317101	0.928510172002467	0.0478396248407964	0.0942053594310814	0.853900533650975	0.122662703771367	0.173918441466329	TRUE	FALSE	FALSE
NCBI:GeneID:105317102	-0.634071614638997	0.00304773759806222	0.00960978242648071	-0.88238120344533	2.4204758872741e-15	1.78703987266108e-14	TRUE	TRUE	TRUE
NCBI:GeneID:105317104	-1.0667084658645	2.23275834686804e-05	0.000140712067063751	-1.06087552795067	0.000117860919822009	0.000303552376812183	TRUE	TRUE	TRUE
NCBI:GeneID:105317106	0.570833095378544	0.394590043667237	0.508352337269293	0.350773054634946	0.642600932050286	0.707275053849615	TRUE	FALSE	FALSE
NCBI:GeneID:105317109	-0.429225331177565	0.00158565431006891	0.00557553762195305	-0.496560138493545	3.00233415711523e-06	9.66443366754312e-06	TRUE	TRUE	TRUE
NCBI:GeneID:105317113	0.409128673883276	0.155137009573028	0.24454134508194	0.701428788201481	4.1733676617205e-65	2.05209562244797e-63	TRUE	FALSE	TRUE
NCBI:GeneID:105317114	0.308352097147326	0.0551305924961306	0.105715432083454	0.328633197474222	0.0192854639576787	0.0331938464158223	TRUE	FALSE	TRUE
NCBI:GeneID:105317116	0.775442982709063	0.205092300221782	0.305311708233989	0.739689030914232	0.302258257548128	0.378173190030468	TRUE	FALSE	FALSE
NCBI:GeneID:105317117	-0.603604027625732	0.00118885966699252	0.00434774186817826	-0.751327214643076	4.1447653770795e-07	1.47614433343291e-06	TRUE	TRUE	TRUE
NCBI:GeneID:105317118	0.475855507493008	0.566237911166936	0.669214467044434	0.92774620434692	0.20911169362504	0.275644071101829	TRUE	FALSE	FALSE
NCBI:GeneID:105317119	-0.305090759096599	0.421855825980996	0.53461153412136	0.0474257991043107	0.792292772403995	0.835288017554669	FALSE	FALSE	FALSE
NCBI:GeneID:105317120	-0.481380433886125	0.0770240476525545	0.138615302469365	-0.63632447192319	0.0165799501830816	0.0289469861522419	TRUE	FALSE	TRUE
NCBI:GeneID:105317121	0.0556986021487335	0.869388016929408	0.910516103781347	-0.249201223777676	0.425732208498438	0.504986797773558	FALSE	FALSE	FALSE
NCBI:GeneID:105317122	0.3091009910584	0.383938536931336	0.497766025698979	0.58736910570274	0.026031639927224	0.0435751796585463	TRUE	FALSE	TRUE
NCBI:GeneID:105317123	-0.449082511767167	0.163680080063971	0.25540692285301	-0.907004041207064	1.97836042321079e-06	6.52190819270421e-06	TRUE	FALSE	TRUE
NCBI:GeneID:105317124	-3.16711593454223	0.0022393403011418	0.0074696818595464	-6.23183867235711	6.46350471581832e-05	0.000173058788607831	TRUE	TRUE	TRUE
NCBI:GeneID:105317125	-0.853915006431311	1.49729216018554e-18	9.12841441905118e-17	-0.842882229183586	7.22739380496513e-46	2.23778180686233e-44	TRUE	TRUE	TRUE
NCBI:GeneID:105317127	-0.598270146806115	0.00228369074134157	0.00758067487836184	-0.466683555201058	0.00526801893531848	0.0101686210035331	TRUE	TRUE	TRUE
NCBI:GeneID:105317131	-0.508519188337169	0.399647143500567	0.513461840313853	-1.05922620453933	0.064946152665069	0.099158098560059	TRUE	FALSE	FALSE
NCBI:GeneID:105317134	1.19577014175045	1.78276828409542e-05	0.000115815641905137	1.25625515069558	1.82124381104281e-05	5.27859695182452e-05	TRUE	TRUE	TRUE
NCBI:GeneID:105317136	-0.988187945175032	0.0389041709996064	0.0793314939957345	-0.553324435871187	0.041986357819412	0.0672378912679383	TRUE	FALSE	FALSE
NCBI:GeneID:105317137	-0.992261932769317	0.0714621450913407	0.130394229932758	-0.675444655400143	0.227889295057063	0.297115222767996	TRUE	FALSE	FALSE
