feature_id_standardized	gene_symbol	description	gene_biotype	annotation_release
NCBI:GeneID:105317499	LOC105317499	kxDL motif-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109619436	LOC109619436	putative nuclease HARBI1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330483	LOC105330483	pre-mRNA-splicing factor SLU7	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334355	LOC105334355	uncharacterized LOC105334355	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338166	LOC105338166	uncharacterized LOC105338166	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318527	LOC105318527	uncharacterized LOC105318527	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336512	LOC105336512	neurocalcin homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338002	LOC105338002	ubiquitin carboxyl-terminal hydrolase 8	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319808	LOC105319808	protein wntless homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330372	LOC105330372	degenerin-like protein del-10	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337334	LOC105337334	mRNA turnover protein 4 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344982	LOC105344982	palmitoyltransferase ZDHHC14	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333254	LOC105333254	period circadian protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344373	LOC105344373	uncharacterized protein CXorf65 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342910	LOC105342910	lysosomal cholesterol signaling protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343992	LOC105343992	chitin synthase chs-2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269787	LOC136269787	uncharacterized LOC136269787	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332741	LOC105332741	glutamine-rich protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322530	LOC105322530	acid phosphatase type 7	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274782	LOC136274782	uncharacterized LOC136274782	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329852	LOC105329852	F-box/WD repeat-containing protein 7	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117688002	LOC117688002	uncharacterized LOC117688002	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321529	LOC105321529	mitochondrial amidoxime-reducing component 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338047	LOC105338047	NACHT domain- and WD repeat-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318031	LOC105318031	myogenesis-regulating glycosidase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336523	LOC105336523	septin-11	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338595	LOC105338595	splicing factor Cactin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333168	LOC105333168	deleted in malignant brain tumors 1 protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335598	LOC105335598	mitochondrial fission process protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334440	LOC105334440	uncharacterized LOC105334440	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320435	LOC105320435	G-protein coupled receptor 52	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345833	LOC105345833	guanine deaminase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334235	LOC105334235	uncharacterized LOC105334235	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322136	LOC105322136	caveolin-3	protein_coding	GCF_963853765.1-RS_2024_06
