"PC1","PC2","group","condition","name"
-7.20316460056968,14.2389780921956,"selected","selected","selected_A"
-27.5653614777774,-5.03335395511251,"selected","selected","selected_B"
-26.75756500415,-3.22646492674086,"selected","selected","selected_C"
20.5492195765733,-2.41375950514336,"control","control","control_A"
20.8496389171347,-1.59240032549184,"control","control","control_B"
20.127232588789,-1.97299937970705,"control","control","control_C"
