sample_comparison	feature_id_original	feature_type	molecular_direction	effect_size	effect_size_type	standard_error	p_value	adjusted_p_value	analysis_method	quality_flags
heat_35C_2h_vs_control_12C	CGI_10024054	gene	up	1.14936449688765	log2_fold_change			0.00278563136328532	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10005710	gene	up	1.14442264038905	log2_fold_change			0.00253200309668436	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10026819	gene	up	1.12766148886498	log2_fold_change			0.00246928936055532	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10004519	gene	up	1.11493106108162	log2_fold_change			0.0021989866667699	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10018622	gene	up	1.09405699083958	log2_fold_change			0.00975838955470098	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_11355	gene	up	1.08528308260682	log2_fold_change			0.00247261000388907	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10000078	gene	up	1.08382119739984	log2_fold_change			0.00232365649092962	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10013492	gene	up	1.07802949334133	log2_fold_change			0.0087281781458689	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10020024	gene	up	1.07316232370275	log2_fold_change			0.00566471180715218	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_6381	gene	up	1.07028647269187	log2_fold_change			0.00712669813533311	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
